IDdistrict,year,month,day,maxtemp,mintemp,sunnyhours,daytype
1-1-1-1,2020,1,1,49,32,6,CLOUDY
1-1-1-1,2020,1,2,-9,-10,6,CLOUDY
1-1-1-1,2020,1,3,6,-2,4,SUNNY
1-1-1-1,2020,1,4,22,5,2,CLOUDY
1-1-1-1,2020,1,5,20,11,4,SUNNY
1-1-1-1,2020,1,6,33,6,2,SUNNY
1-1-1-1,2020,1,7,22,8,11,SNOWY
1-1-1-1,2020,1,8,35,6,3,CLOUDY
1-1-1-1,2020,1,9,-5,-8,8,SUNNY
1-1-1-1,2020,1,10,16,4,2,SNOWY
1-1-1-1,2020,1,11,12,-1,8,RAINY
1-1-1-1,2020,1,12,40,15,12,SNOWY
1-1-1-1,2020,1,13,37,21,3,CLOUDY
1-1-1-1,2020,1,14,38,13,2,SNOWY
1-1-1-1,2020,1,15,24,4,2,CLOUDY
1-1-1-1,2020,1,16,-3,-10,6,CLOUDY
1-1-1-1,2020,1,17,29,-7,11,CLOUDY
1-1-1-1,2020,1,18,1,-1,3,CLOUDY
1-1-1-1,2020,1,19,30,29,10,RAINY
1-1-1-1,2020,1,20,14,-5,10,SUNNY
1-1-1-1,2020,1,21,15,-10,3,SNOWY
1-1-1-1,2020,1,22,19,9,1,SNOWY
1-1-1-1,2020,1,23,-8,-9,2,CLOUDY
1-1-1-1,2020,1,24,1,-8,9,RAINY
1-1-1-1,2020,1,25,27,15,7,CLOUDY
1-1-1-1,2020,1,26,18,-2,12,SUNNY
1-1-1-1,2020,1,27,36,32,3,SUNNY
1-1-1-1,2020,1,28,42,29,2,SNOWY
1-1-1-1,2020,2,1,13,-5,7,SNOWY
1-1-1-1,2020,2,2,21,13,5,SNOWY
1-1-1-1,2020,2,3,-10,-10,7,SUNNY
1-1-1-1,2020,2,4,50,-1,5,SUNNY
1-1-1-1,2020,2,5,31,8,5,SNOWY
1-1-1-1,2020,2,6,-2,-8,9,SUNNY
1-1-1-1,2020,2,7,-3,-4,3,SNOWY
1-1-1-1,2020,2,8,33,-9,11,SUNNY
1-1-1-1,2020,2,9,13,-7,3,SUNNY
1-1-1-1,2020,2,10,14,-10,2,SNOWY
1-1-1-1,2020,2,11,-7,-9,1,SNOWY
1-1-1-1,2020,2,12,41,28,10,RAINY
1-1-1-1,2020,2,13,38,34,9,CLOUDY
1-1-1-1,2020,2,14,39,9,10,RAINY
1-1-1-1,2020,2,15,45,18,0,CLOUDY
1-1-1-1,2020,2,16,-7,-10,12,SUNNY
1-1-1-1,2020,2,17,-2,-4,3,CLOUDY
1-1-1-1,2020,2,18,6,-4,1,SUNNY
1-1-1-1,2020,2,19,-7,-8,1,SUNNY
1-1-1-1,2020,2,20,18,-5,0,SUNNY
1-1-1-1,2020,2,21,47,25,3,CLOUDY
1-1-1-1,2020,2,22,29,29,8,SNOWY
1-1-1-1,2020,2,23,18,17,3,SUNNY
1-1-1-1,2020,2,24,10,-2,9,CLOUDY
1-1-1-1,2020,2,25,11,5,5,SUNNY
1-1-1-1,2020,2,26,0,-4,0,SUNNY
1-1-1-1,2020,2,27,-5,-10,12,RAINY
1-1-1-1,2020,2,28,-6,-8,5,SNOWY
1-1-1-1,2020,3,1,27,10,11,SUNNY
1-1-1-1,2020,3,2,46,38,11,SUNNY
1-1-1-1,2020,3,3,-10,-10,10,RAINY
1-1-1-1,2020,3,4,-2,-5,4,SUNNY
1-1-1-1,2020,3,5,-5,-10,3,SUNNY
1-1-1-1,2020,3,6,-6,-9,7,CLOUDY
1-1-1-1,2020,3,7,40,39,3,CLOUDY
1-1-1-1,2020,3,8,-10,-10,7,RAINY
1-1-1-1,2020,3,9,29,-1,6,SUNNY
1-1-1-1,2020,3,10,23,15,8,RAINY
1-1-1-1,2020,3,11,-10,-10,9,SNOWY
1-1-1-1,2020,3,12,20,-3,9,RAINY
1-1-1-1,2020,3,13,-7,-10,11,CLOUDY
1-1-1-1,2020,3,14,21,17,5,RAINY
1-1-1-1,2020,3,15,34,-2,12,SUNNY
1-1-1-1,2020,3,16,46,9,6,SNOWY
1-1-1-1,2020,3,17,43,-9,1,SUNNY
1-1-1-1,2020,3,18,5,0,1,CLOUDY
1-1-1-1,2020,3,19,5,-8,6,CLOUDY
1-1-1-1,2020,3,20,-6,-8,9,RAINY
1-1-1-1,2020,3,21,44,-2,4,CLOUDY
1-1-1-1,2020,3,22,26,22,3,RAINY
1-1-1-1,2020,3,23,47,-7,8,SUNNY
1-1-1-1,2020,3,24,-5,-10,3,SNOWY
1-1-1-1,2020,3,25,20,16,12,RAINY
1-1-1-1,2020,3,26,41,-2,1,RAINY
1-1-1-1,2020,3,27,1,1,9,CLOUDY
1-1-1-1,2020,3,28,38,-2,11,SNOWY
1-1-1-1,2020,4,1,-9,-10,0,RAINY
1-1-1-1,2020,4,2,-6,-10,3,RAINY
1-1-1-1,2020,4,3,7,-3,2,SNOWY
1-1-1-1,2020,4,4,-10,-10,10,SNOWY
1-1-1-1,2020,4,5,47,43,11,SNOWY
1-1-1-1,2020,4,6,17,7,2,CLOUDY
1-1-1-1,2020,4,7,-7,-8,8,RAINY
1-1-1-1,2020,4,8,0,-2,3,SUNNY
1-1-1-1,2020,4,9,16,13,1,SUNNY
1-1-1-1,2020,4,10,-2,-9,10,SNOWY
1-1-1-1,2020,4,11,1,-8,5,SNOWY
1-1-1-1,2020,4,12,20,11,5,RAINY
1-1-1-1,2020,4,13,3,-8,1,CLOUDY
1-1-1-1,2020,4,14,6,-10,6,CLOUDY
1-1-1-1,2020,4,15,50,33,2,RAINY
1-1-1-1,2020,4,16,33,23,7,SUNNY
1-1-1-1,2020,4,17,27,19,2,SUNNY
1-1-1-1,2020,4,18,45,16,2,CLOUDY
1-1-1-1,2020,4,19,9,8,11,SNOWY
1-1-1-1,2020,4,20,13,-1,7,RAINY
1-1-1-1,2020,4,21,-1,-6,8,SUNNY
1-1-1-1,2020,4,22,29,4,3,SUNNY
1-1-1-1,2020,4,23,-4,-10,9,CLOUDY
1-1-1-1,2020,4,24,49,47,11,RAINY
1-1-1-1,2020,4,25,41,26,3,SNOWY
1-1-1-1,2020,4,26,21,0,3,SNOWY
1-1-1-1,2020,4,27,34,-4,11,SUNNY
1-1-1-1,2020,4,28,12,-10,2,SNOWY
1-1-1-1,2020,5,1,21,-2,6,RAINY
1-1-1-1,2020,5,2,3,2,8,RAINY
1-1-1-1,2020,5,3,8,0,4,SUNNY
1-1-1-1,2020,5,4,20,1,9,CLOUDY
1-1-1-1,2020,5,5,45,21,9,RAINY
1-1-1-1,2020,5,6,24,9,10,CLOUDY
1-1-1-1,2020,5,7,-5,-9,5,CLOUDY
1-1-1-1,2020,5,8,3,-5,1,RAINY
1-1-1-1,2020,5,9,41,13,7,RAINY
1-1-1-1,2020,5,10,25,22,9,RAINY
1-1-1-1,2020,5,11,27,-8,10,RAINY
1-1-1-1,2020,5,12,50,39,10,CLOUDY
